
St Number,St Name,Street Side,Skytrain Station Name,BIA,# of racks,Years Installed
134,Abbott St,East,,GT,1,Prior 2010
134,Abbott St,East,,GT,1,2012
216,Abbott St,East,,GT,2,2012
455,Abbott St,West,,HC,4,2014
516,Abbott St,East,,HC,1,2014
568,Abbott St,East,,HC,1,2014
603,Abbott St,West,,HC,1,2014
623,Abbott St,West,,HC,1,2014
628,Abbott St,East,,HC,1,2014
660,Abbott St,East,,HC,1,2014
683,Abbott St,West,,HC,1,2014
1488,Adanac,South,,,1,2014
1600,Alberni St,North,,,1,2012
2104,Alberta St,East,,,2,2011
2104,Alberta St,East,,,2,2010
55,Alexander St,North,,GT,1,Prior 2010
55,Alexander St,North,,GT,2,2012
90,Alexander St,South,,GT,1,2012
90,Alexander St,South,,GT,10,2013
148,Alexander St,South,,,1,Prior 2010
305,Alexander St,North,,STRC,1,2012
320,Alexander St,South,,,2,Prior 2010
320,Alexander St,South,,STRC,2,2014
475,Alexander St,North,,STRC,2,2012
200,Alexander St ,North,,STRC,2,2012
2083,Alma St,West,,,1,Prior 2010
2083,Alma St,West,,,3,2012
2607,Alma St,West,,,1,Prior 2010
2621,Alma St,West,,,1,Prior 2010
2780,Alma St,East,,,1,Prior 2010
1400,Balsam St,East,,,1,2012
5704,Balsam St,East,,,1,2012
5723,Balsam St,West,,,2,Prior 2010
1447,Barclay St,North,,,1,2013
2475,Bayswater St,West,,,1,Prior 2010
2486,Bayswater St,East,,WB,1,2011
510,Beatty St,East,,,2,2011
546,Beatty St,East,,,1,2011
568,Beatty St,East,,,1,2011
590,Beatty St,East,Stadium-Chinatown,,2,2012
780,Beatty St,East,,,2,2011
837,Beatty St,West,,,1,2011
858,Beatty St,East,,,3,2011
873,Beatty St,West,,,1,Prior 2010
873,Beatty St,West,,,2,2011
900,Beatty St,East,,,1,2012
777,Bidwell St,West,,,1,Prior 2010
2400,Birch St,West,,,1,2012
2400,Blenheim St,East,,WB,1,2011
2500,Blenheim St,West,,WB,1,2011
3190,Blenheim St,East,,,1,Prior 2010
5675,Boundary Rd,West,,,1,Prior 2010
1300,Broughton St,West,,,2,2012
200,Burrard St,West,,,1,Prior 2010
355,Burrard St,West,,,2,2010
401,Burrard St,West,,,2,2010
550,Burrard St,East,,,1,Prior 2010
635,Burrard St,West,Burrrad,,4,2012
888,Burrard St,East,,,3,2010
1081,Burrard St,West,,,3,2012
1980,Burrard St,East,,,1,Prior 2010
2110,Burrard St,East,,,2,Prior 2010
2385,Burrard St,West,,,1,Prior 2010
2421,Burrard St,West,,,1,Prior 2010
2445,Burrard St,West,,,1,Prior 2010
800,Bute St,West,,,1,2012
808,Bute St,East,,,1,Prior 2010
814,Bute St,East,,,1,Prior 2010
936,Bute St,East,,,2,Prior 2010
1100,Bute St,East,,,2,2012
220,Cambie St,East,,,2,Prior 2010
300,Cambie St,East,,,1,Prior 2010
440,Cambie St,East,,,1,Prior 2010
845,Cambie St,West,,YT,3,2014
888,Cambie St,East,,,1,Prior 2010
891,Cambie St,West,,YT,3,2014
2150,Cambie St,East,,,1,Prior 2010
2335,Cambie St,West,,,2,Prior 2010
2893,Cambie St,West,,,2,Prior 2010
3305,Cambie St,West,,,1,Prior 2010
3365,Cambie St,West,,,1,Prior 2010
3440,Cambie St,East,,,1,Prior 2010
4038,Cambie St,East,,,1,Prior 2010
4099,Cambie St,West,King Edward,,22,2012
6488,Cambie St,East,Langara-49th,,3,2012
8430,Cambie St,East,Marine Drive,,4,2012
8500,Cambie St,East,,,1,2012
1078,Cardero St,East,,,3,2013
298,Carrall St,East,,,2,Prior 2010
511,Carrall St,West,,,2,2012
5487,Cecil St,West,,,1,Prior 2010
1716,Charles St,South,,,2,Prior 2010
505,Clark Dr,West,,,1,Prior 2010
912,Clark Dr,East,,,1,Prior 2010
912,Clark Dr,South,,,2,2011
203,Columbia St,North,,,2,2014
211,Columbia St,West,,GT,1,2012
302,Columbia St,East,,,1,Prior 2010
303,Columbia St,West,,,1,Prior 2010
303,Columbia St,West,,,1,2014
351,Columbia St,East,,,1,2014
2021,Columbia St,West,,,2,2012
1380,Commercial Dr,East,,,2,2013
1010,Commercial Drive,East,,,2,2012
1016,Commercial Drive,East,,,1,2012
1025,Commercial Drive,West,,,1,2012
1034,Commercial Drive,East,,,1,2012
1034,Commercial Drive,East,,,1,2012
1035,Commercial Drive,West,,,2,2012
1045,Commercial Drive,West,,,2,Prior 2010
1103,Commercial Drive,West,,,1,2012
1111,Commercial Drive,West,,,1,Prior 2010
1111,Commercial Drive,West,,,2,2012
1132,Commercial Drive,East,,,1,Prior 2010
1135,Commercial Drive,West,,,1,2012
1204,Commercial Drive,East,,,1,Prior 2010
1365,Commercial Drive,West,,,1,2012
1380,Commercial Drive,East,,,1,Prior 2010
1404,Commercial Drive,East,,,1,Prior 2010
1505,Commercial Drive,West,,,1,Prior 2010
1520,Commercial Drive,East,,,1,Prior 2010
1604,Commercial Drive,East,,,1,Prior 2010
1620,Commercial Drive,East,,,1,Prior 2010
1675,Commercial Drive,West,,,1,Prior 2010
